ra,dec,rv,j,ej,h,eh,k,ek,dist,sn,feh
90.050174,30.174918,-0.6221006,10.013,0.2194,9.117,0.0667,8.82,0.0177,7.9502557,60.05256,-0.084019027
89.644566,31.199935,82.40842,9.375,0.2919,8.361,0.0893,8.084,0.0238,6.4312237,35.976074,-0.23500873
88.482726,31.213708,63.90765,8.852,0.2316,7.841,0.0689,7.527,0.0178,6.7561881,52.233955,-0.16586196
91.368741,29.561153,-9.857294,9.489,0.5223,8.343,0.1623,7.937,0.0441,7.1581076,42.110657,-0.2949425
86.619609,29.377392,99.60429,9.773,0.4935,8.756,0.1364,8.382,0.0323,4.8072781,63.9316,-0.39135014
87.352347,30.119181,44.34965,10.165,0.3507,9.166,0.0998,8.849,0.0245,7.9799996,53.414715,-0.43802439
87.258736,30.203538,5.8588343,10.192,0.3747,9.158,0.1066,8.835,0.0261,8.5681039,56.43611,-0.56564761
88.486477,30.876703,84.557175,10.649,0.3394,9.708,0.1005,9.332,0.0258,10.553647,32.201687,999
88.077115,28.276764,21.485956,10.011,0.3517,9.092,0.0989,8.779,0.0239,5.024484,12.402226,-0.33110532
87.980616,28.811533,47.62424,8.693,0.3036,7.609,0.0859,7.287,0.0209,6.2614266,93.8969,-0.4822108
88.863141,29.478516,-5.339009,8.603,0.3054,7.578,0.0892,7.211,0.0226,5.7931478,65.335075,-0.41862098
90.053772,27.249384,60.78161,10.482,0.2903,9.48,0.0842,9.163,0.0211,11.706036,37.11461,-0.40144444
87.11248,28.395435,-35.979927,9.801,0.5299,8.715,0.1458,8.328,0.0343,5.9157363,36.116386,-0.5824221
88.898835,30.501443,20.512287,9.458,0.3118,8.407,0.0927,8.082,0.0239,8.0952604,29.18724,-0.36122518
